Pays,Total médailles,Rang,PIB par hab,Continent,Pays (EN)
Norvège,39,1,90288.8224111165,EUR,Norway
Allemagne,31,2,45845.5265423811,EUR,Germany
Canada,29,3,50262.1105384007,AME,Canada
États-Unis,23,4,52364.2440246182,AME,United States
Pays-Bas,20,5,52267.7317557741,EUR,Netherlands
Suède,14,6,56473.022779491,EUR,Sweden
Rép. de Corée,17,7,25458.8870089242,ASI,Republic of Korea
Suisse,15,8,76691.1168436405,EUR,Switzerland
France,15,9,42015.7382940858,EUR,France
Autriche,14,10,47996.576341051,EUR,Austria
Japon,13,11,47623.2709305964,ASI,Japan
Italie,10,12,34362.6679670922,EUR,Italy
OAR,17,13,9500.3920892747,EUA,OAR (Russia)
Rép. tchèque,7,14,21894.1126524738,EUR,Czech Republic
Bélarus,3,15,6221.37259322516,EUR,Belarus
Chine,9,16,6893.77636133899,ASI,China
Slovaquie,3,17,26460.3979007776,EUR,Slovakia
Finlande,6,18,45823.7645348935,EUR,Finland
Grande-Bretagne,5,19,41981.3920892747,EUR,Great Britain
Pologne,2,20,15065.9712477303,EUR,Poland
Hongrie,1,21,14997.2005200975,EUR,Hungary
Ukraine,1,21,2905.85744034369,EUR,Ukraine
Australie,3,23,55478.5772943505,OCE,Australia
Slovénie,2,24,24460.3979007776,EUR,Slovenia
Belgique,1,25,45469.7108326081,EUR,Belgium
Espagne,2,26,31505.2929758767,EUR,Spain
Nouvelle-Zélande,2,26,36840.5247804023,OCE,New Zealand
Kazakhstan,1,28,10582.4974771966,EUA,Kazakhstan
Lettonie,1,28,14724.6899652971,EUR,Latvia
Liechtenstein,1,28,98600.934880422,EUR,Liechtenstein
