Country,medals
United States,2827
Great Britain,880
Germany,855
France,840
Italy,701
Sweden,652
China,608
Russia,546
Norway,520
East Germany,519
Australia,512
Canada,501
Hungary,498
Japan,497
Finland,470
Netherlands,415
Switzerland,345
South Korea,337
Austria,319
Romania,307
Poland,306
West Germany,243
Cuba,225
Bulgaria,224
Denmark,195
Czechoslovakia,168
Spain,154
Belgium,154
United Team of Germany,137
Unified Team,135
Ukraine,129
Brazil,128
New Zealand,120
Greece,116
Kenya,102
Belarus,96
Yugoslavia,94
Turkey,91
Czech Republic,87
South Africa,86
Jamaica,77
Argentina,74
Kazakhstan,70
Mexico,69
Iran,69
North Korea,56
Ethiopia,53
Croatia,44
Azerbaijan,43
Estonia,41
Slovenia,40
Slovakia,36
Thailand,33
Georgia,33
Uzbekistan,32
Indonesia,32
Egypt,32
Ireland,31
India,28
Colombia,28
Latvia,27
Mongolia,26
Nigeria,25
Lithuania,25
Portugal,24
Chinese Taipei,24
Morocco,23
Trinidad and Tobago,19
Olympic Athletes from Russia,17
Mixed team,17
Algeria,17
Venezuela,15
Serbia,15
Bahamas,14
Armenia,14
Tunisia,13
Chile,13
Australasia,12
Malaysia,11
Uruguay,10
Philippines,10
Pakistan,10
Liechtenstein,10
Puerto Rico,9
Israel,9
Zimbabwe,8
Russian Empire,8
Uganda,7
Dominican Republic,7
Cameroon,6
Singapore,5
Qatar,5
Moldova,5
Vietnam,4
Tajikistan,4
Peru,4
Namibia,4
Luxembourg,4
Lebanon,4
Kyrgyzstan,4
Iceland,4
Ghana,4
Costa Rica,4
Bohemia,4
Syria,3
Saudi Arabia,3
Panama,3
Ivory Coast,3
Independent Olympic Participants,3
Hong Kong,3
Bahrain,3
Zambia,2
United Arab Emirates,2
Tanzania,2
Suriname,2
Sri Lanka,2
Serbia and Montenegro,2
Niger,2
Mozambique,2
Kuwait,2
Independent Olympic Athletes,2
Haiti,2
Grenada,2
Ecuador,2
Burundi,2
British West Indies,2
Afghanistan,2
Virgin Islands,1
Tonga,1
Togo,1
Sudan,1
Senegal,1
Samoa,1
Paraguay,1
Netherlands Antilles,1
Montenegro,1
Mauritius,1
Macedonia,1
Kosovo,1
Jordan,1
Iraq,1
Guyana,1
Guatemala,1
Gabon,1
Fiji,1
Eritrea,1
Djibouti,1
Cyprus,1
Botswana,1
Bermuda,1
Barbados,1
